"Restaurant.name","offense_date","citstzip","staddress","comments","ins_date","X","seq_01","citation"
"Tony C's","4/4/2015","Burlington, MA 01803","17 3rd Ave","","23-Apr-15",NA,NA,""
"Turtle Pond Tavern","4/4/2015","Palmer, MA 01069","PO Box 789","","28-Aug-15",NA,NA,""
"WILLABEE,S","4/4/2015","SWANSEA,MA","GAR HIGHWAY","","22-May-15",NA,NA,""
"BREAK-AWAY BILLIARDS","4/5/2015","CLINTON, MA 01510","104 STERLING STREET","","21-Apr-15",NA,1,"R1812365"
"Cassey's","4/5/2015","Attleboro, MA 02703","198-598 Oneil Blvd","","15-Jun-15",NA,1,"R2278001"
"Guanachapis","4/5/2015","Waltham Ma","270 Moody St","45 Day Loss Of License","08-Dec-15",NA,NA,""
"Murphy's","4/5/2015","Salem, MA 01970","300 Derby Street","","18-May-15",NA,NA,""
"Waterfront Tavern","4/5/2015","Holyoke, MA 01040","920 Main Street","","16-Jul-15",NA,NA,""
"Charlie's Kitchen","4/6/2015","Cambridge, MA 02138","10 Eliot St.","","30-Oct-15",NA,1,"R1876860"
"Private","4/6/2015","Private","Private","","09-Nov-15",NA,NA,""
"The Muse","4/6/2015","Nantucket, MA 02554","Surfside Road","","23-Jun-15",NA,NA,""
"unknown","4/6/2015","Unknown","Unknown","","28-Jul-15",NA,NA,""
"Black Cow","4/7/2015","Newburyport, MA 01950","54 Merrimac Street","","08-Apr-15",NA,1,"R0230516"
"Cheoy Lee""s","4/7/2015","Sterling, MA 01583","Rte 12","","01-May-15",NA,1,"R2623706"
"Chiles","4/7/2015","Lowell, MA 01851","26 Reiss Avenue","","06-May-15",NA,1,"R1727466"
"Riviera Show Club","4/7/2015","Worcester, MA 01608","241 Southbridge Street","","27-Aug-15",NA,NA,""
"","4/7/2015","","","","16-Apr-15",NA,NA,""
"Bamboo Restaurant","4/8/2015","Bedford, MA 01730","213 Burlington Rd.","","15-Apr-15",NA,1,"M8702747"
"Bristish Beer Company","4/8/2015","East Walpole,MA 02032","85 Providence Hwy","","15-Jul-15",NA,1,"R1853452"
"Partner's Pub","4/8/2015","Leominster MA 01453","970 South Street","","03-Dec-15",NA,NA,""
"Private","4/8/2015","xxxx","xxxx","45 Day Loss Of License","18-Aug-15",NA,NA,""
"Renzo's","4/8/2015","Revere, Ma. 02151","381 Revere Beach Blvd","","19-Aug-15",NA,NA,""
"Majestic Dragon","4/9/2015","Ipswich, MA 01938","Route 1","","29-Apr-15",NA,NA,""
"PRIVATE","4/9/2015","PRIVATE","PRIVATE","","06-Jul-16",NA,NA,""
"The People's Pint","4/9/2015","Greenfield, MA 01301-3302","24 Federal Street","","21-Apr-15",NA,NA,""
"51 Park Restaurant & Tavern","4/10/2015","Lee, MA 01238","51 Park Street","","23-Apr-15",NA,1,"R0446520"
"Boston Tavern","4/10/2015","Middleboro, MA 02346","58 E Grove Street","","08-Oct-15",NA,1,"R2373761"
"JJ McKay's Res. & Pub","4/10/2015","Wayland, MA. 01778","171 Commonwealth Rd.","","23-Apr-15",NA,NA,""
"Kings of Burlington","4/10/2015","Burlington, MA 01803","52 2nd Avenue","","04-May-15",NA,NA,""
"Middle East Restaurant and Nightclub","4/10/2015","Cambridge, MA 02139","472-480 Massachusetts Ave","","27-Oct-15",NA,NA,""
"Mon kou","4/10/2015","South Attleboro, MA 02703","676 Washington Street","","14-Apr-15",NA,NA,""
"Pizzerino Uno","4/10/2015","Woburn,MA 01801","Mishawum Rd.","","20-Sep-16",NA,NA,""
"Rip Tide","4/10/2015","Marblehead MA 01945","116 Pleasant St.","","28-Mar-16",NA,NA,""
"High Society","4/11/2015","Boston, MA. 02110","99 High St","","06-May-15",NA,NA,""
"Menotomy Grill & Bar","4/11/2015","Arlington,MA 02474","25 Massachusetts Ave","","13-May-15",NA,NA,""
"MIKE'S PLACE","4/11/2015","ORANGE, MA 01364","EAST RIVER STREET","","10-Jul-15",NA,NA,""
"MURPHY'S","4/11/2015","SALEM, MA. 01970","300 DERBY STREET","","13-Jul-15",NA,NA,""
"Paradise Rock Club","4/11/2015","Boston, MA 02215","969 Commonwealth Avenue","","10-Jul-15",NA,NA,""
"Pottersville Pub","4/11/2015","Somerset, MA","1104 County Street","","08-May-15",NA,NA,""
"Private","4/11/2015","xxx","xxx","","02-Jun-15",NA,NA,""
"Private","4/11/2015",".",".","","07-Jul-15",NA,NA,""
"Private","4/11/2015","Private","Private","","19-Aug-15",NA,NA,""
"Rhumb Line Restaurant","4/11/2015","Gloucester, MA 01930","40 Railroad Avenue","","13-Apr-15",NA,NA,""
"The Woodshed","4/11/2015","Brewster, MA 02631","1993 Main St.","","27-Jul-16",NA,NA,""
"Thirsty Whale","4/11/2015","Newburyport, MA 01950","24 Market Square","","12-May-15",NA,NA,""
"TWIN RIVER CASINO","4/11/2015","LINCOLN,RI 02865","100 TWIN RIVER RD","","02-Dec-15",NA,NA,""
"Wales Irish Pub","4/11/2015","Wales, MA 01081","16 Holland Rd","","13-Apr-15",NA,NA,""
"Boston Billiards","4/12/2015","Nashua NH 03060","55 Northeastern Blvd","","30-Apr-15",NA,1,"R1553387"
"Maxwell Silverman's Toolhouse","4/12/2015","Worcester, MA 01608","25 Union Street","","27-Aug-15",NA,NA,""
"Mill Town Tavern","4/12/2015","Dalton, MA 01226","16 Depot St.","","27-May-15",NA,NA,""
"Red Herring","4/12/2015","Williamstown, MA 01267","46 Spring Street","","02-Jun-15",NA,NA,""
"Saharri Restaurant","4/12/2015","Methuen, MA. 01844","34 Bates Street","","27-Jan-16",NA,NA,""
"Samuel's Sports Bar","4/12/2015","Springfield, MA 01104","1000 W. Colombus St.","","06-Oct-15",NA,NA,""
"Samuel's Sports Bar","4/12/2015","Springfield, MA 01103","1000 W. Columbus Ave.","","15-Dec-15",NA,NA,""
"The Upper Deck","4/12/2015","Salisbury, MA 01952","18 Broadway","","28-Apr-15",NA,NA,""
"Whipple Cafe","4/12/2015","Lowell, Ma 01852","394 Lawrence Street","","04-Jun-15",NA,NA,""
"British Beer Company","4/13/2015","Franklin, MA 02038","Franklin Village Shopping Center
  280 Franklin Vil","","14-Apr-15",NA,1,"R1320788"
"Singapore","4/13/2015","Fitchburg, MA 01420","Twin City Shopping Center
 170 Whalon Street","","09-Jul-15",NA,NA,""
"Private","4/14/2015","Private","Private","","19-Aug-15",NA,NA,""
"Chicken Box","4/15/2015","Nantucket, MA 02554","6 Dave Street","","16-Nov-15",NA,1,"R268721"
"Louies","4/15/2015","Somerville, MA 02145","193 Broadway","","16-Apr-15",NA,NA,""
"Redline Pub","4/15/2015","Lowell, Ma","1018 Gorham Street","","24-Aug-15",NA,NA,""
"The Local","4/15/2015","Wayland, MA 01778","400 Boston Post Road","","05-Nov-15",NA,NA,""
"Golden Banana","4/16/2015","Peabody,MA 01960","310 Jubilee Drive","","04-Jun-15",NA,NA,""
"McMurphy's Uptown Tavern","4/16/2015","Amherst, MA 01002","37 North Pleasant Street","","27-Apr-15",NA,NA,""
"Outback Steakhouse","4/16/2015","Lowell, MA 01851","28 Reiss Street","","13-Jan-16",NA,NA,""
"Howl at the Moon","4/17/2015","Foxboro,MA 02035","220 Patriot Place","","28-Apr-15",NA,NA,""
"Westminster VFW","4/17/2015","Westminster, MA 0147.3","3 Eaton Street","","13-May-15",NA,NA,""
"Anchor House","4/18/2015","Wilbraham, MA 01095","2589 Boston Road","","21-Apr-15",NA,1,"R0109815"
"BEACH HOUSE RESTAURANT","4/18/2015","Falmouth, MA","Nathan Ellis Highway","","13-May-15",NA,1,"R1941905"
"Dolphin Bar and Grill","4/18/2015","Salisbury, MA 01952","Ocean Boulevard","","21-May-15",NA,NA,""
"Foxy Lady","4/18/2015","Brockton, MA 02301","265 N Pearl Street","","14-Jul-15",NA,NA,""
"J.C. Fenwick's Pub, Inc.","4/18/2015","Leominster, MA 01453","37 Mechanic Street","","16-Jun-15",NA,NA,""
"McFadden's","4/18/2015","Providence RI 02903","52 Pine street","","26-Jan-16",NA,NA,""
"Michael's Harborside","4/18/2015","Newburyport, MA 01950","Tournament Whalf","","21-Apr-15",NA,NA,""
"PORTUGUESE CLUB","4/18/2015","LAWRENCE, MA 01840","2 SARATOGA ST.","","29-Mar-16",NA,NA,""
"Rancho Chico","4/18/2015","Plainville, MA 02762","52 Washington Street","","22-Apr-15",NA,NA,""
"Smokehouse Tavern","4/18/2015","Lowell, MA 01852","98 Middle Street","","09-Jul-15",NA,NA,""
"The Grog","4/18/2015","Newburyport, MA 01950","13 Middle Street","","21-Apr-15",NA,NA,""
"99 Restaurant","4/19/2015","Walpole, MA 02032","55 Providence Highway","","16-Jul-15",NA,1,"R1665725"
"Europa Black Rock Bar & Grill","4/19/2015","Ludlow, MA 01056","782 Center St","","18-Aug-15",NA,NA,""
"Gem","4/19/2015","Boston, MA 02108","42 Province Street","","06-Jul-16",NA,NA,""
"Kars Bar","4/19/2015","Worcester, MA","Route 20","","15-Jun-16",NA,NA,""
"Private","4/19/2015",NA,NA,"","24-Aug-15",NA,NA,""
"RAIN","4/19/2015","MALDEN, MA. 02148","RT 99","","15-Jul-15",NA,NA,""
"Ten's Showclub","4/19/2015","Salisbury, MA 01952","11 Northend Blvd","","06-Jul-15",NA,NA,""
"VFW","4/19/2015","Southbridge, MA. 01550","219 Everett Street","","08-Jun-16",NA,NA,""
"Old Town Tavern","4/20/2015","Amherst, MA 01002","1 Pray Street","","02-Dec-15",NA,NA,""
"The Roxy","4/20/2015","Boston, MA 02116","279 Tremont Street","","07-Jul-15",NA,NA,""
"Chatham Squire, Restaurant and Tavern","4/23/2015","Chatham, MA 02633","487 Main Street","","24-Apr-15",NA,1,"R2622653"
"HomePlate","4/23/2015","Taunton, MA 02780","1094 Bay Street","","27-Apr-15",NA,NA,""
"Portland Pie Co","4/23/2015","Reading MA 01867","54 Haven St","","15-Apr-16",NA,NA,""
"The Lighthouse","4/23/2015","Ludlow, MA 01056","108 Sewall St","","23-Apr-15",NA,NA,""
"The Spoke","4/23/2015","Amherst, MA 01002","East Pleasant Street","","24-Jul-15",NA,NA,""
"Gaslight Tavern","4/24/2015","unknown","unknown","","09-Jun-15",NA,NA,""
"Hotel Vernon","4/24/2015","Worcester, MA 01604","16 Kelley Square","","15-Dec-15",NA,NA,""
"The Anchor","4/24/2015","Beverly, MA 01915","Cabot St","","26-May-15",NA,NA,""
"Casa Vallarta","4/25/2015","Northboro, MA 01532","45 Belmont Street","","21-Oct-15",NA,1,"R1848200"
"Lynda's","4/25/2015","Southbridge, MA 01550","37 1/2 Central Street","","14-Dec-15",NA,NA,""
"Margarita's Restaurant","4/25/2015","Lexington, MA 02420","438 Bedford St.","","16-Jun-15",NA,NA,""
"MARRIOTT HOTEL SERVICES, INC
 SPRINGFIELD MARRIOT H","4/25/2015","SPRINGFIELD, MA 01115","1500 MAIN ST","","08-May-15",NA,NA,""
"Open Door Cafe","4/25/2015","Ludlow, MA 01056","247 Cady St","","09-Jul-15",NA,NA,""
"Private","4/25/2015","Private","Private","","14-Jan-16",NA,NA,""
"Scioli's Pizza Bar","4/25/2015","Milford, MA 01757","146 S. Main St","","26-Jun-15",NA,NA,""
"Splash","4/25/2015","Salisbury, MA 01952","3 Broadway","","19-Jan-16",NA,NA,""
"THE BLIND PIG","4/25/2015","Athol, MA 01331","98 Exchange Street","","30-Mar-16",NA,NA,""
"The Mayflower","4/25/2015","Ipswich, MA 01938","11 Depot Square","","30-Apr-15",NA,NA,""
"Bar Louie","4/26/2015","Foxboro Ma 02035","232 Patriot Place","","28-May-15",NA,1,"R0182146"
"Castillos Night Club","4/26/2015","Everett, MA 02149","355 Ferry Street","","20-May-15",NA,1,"R2258652"
"Co-Ed Billiards","4/26/2015","Wilbraham, MA 01095","2957 Boston Rd","","30-Oct-15",NA,NA,""
"Franco American Club","4/26/2015","Beverly, MA 01915","44 Park St","","20-May-15",NA,NA,""
"Szechuan Taste","4/26/2015","Newburyport, MA 01950","19 Pleasant Street","","27-May-15",NA,NA,""
"The Lounge","4/26/2015","Southbridge, MA 01550","11-17 Pleasant St.","","07-Dec-15",NA,NA,""
"The Union Tavern","4/26/2015","Worcester, MA 01604","65 Green Street","","03-Feb-16",NA,NA,""
"CHRISTOPHER'S PUB","4/27/2015","LEOMINSTER, MA 01453","7 PLEASANT STREET","","26-May-15",NA,1,"R2625852"
"Mickey Doyles","4/27/2015","Fall River, MA","390 Rhode Island Ave","","30-Jun-15",NA,NA,""
"Private","4/27/2015","xxx","xxxx","","28-Apr-15",NA,NA,""
"Red Nun Bar & Grill","4/27/2015","Chatham, MA 02633","746 Main Street","","28-May-15",NA,NA,""
"South Gardner Hotel","4/28/2015","Gardner, MA 01440","8 East Broadway","","02-Oct-15",NA,NA,""
"Anthony's Of Malden","4/29/2015","Malden MA 02148","105 Canal Street","","26-Jun-15",NA,1,"R1574376"
"Ninty Nine Rest.","4/29/2015","Saugus MA","181 Broadway","","22-Jan-16",NA,NA,""
"Sake Japanese Restaurant","4/30/2015","Saugus, MA 01906","670 Broadway","","12-May-15",NA,NA,""
"Buffalo Wild Wings","5/1/2015","Fitchburg, Ma 01420","150 Whalon Street","","14-Mar-16",NA,1,"R2095008"
"Francos","5/1/2015","Waltham Ma 02453","714 Moody St","45 Day Loss of License","02-Jun-15",NA,NA,""
"Private","5/1/2015","xxxxx","xxxxx","90 Day Loss of License","03-Sep-15",NA,NA,""
"Private Home","5/1/2015","N/A","N/A","","04-May-15",NA,NA,""
"R Cees Pub","5/1/2015","Orange MA 01364","South Main Street","","05-May-15",NA,NA,""
"Tekoa Country Club","5/1/2015","Westfield, MA 01085","Russell Rd","","08-Jul-15",NA,NA,""
"Urban Art Bar","5/1/2015","South Boston, MA 02127","709 Broadway","","16-Jul-15",NA,NA,""
"Bucky's","5/2/2015","Lee, MA 01238","25 Frank Consolati Way","","27-Jul-15",NA,1,"R1923945"
"LIAM MCGUIRE'S RESTAURANT","5/2/2015","FALMOUTH, MA 02540","MAIN STREET","","23-Jul-15",NA,NA,""
"Petra Huka Lounge","5/2/2015","Springfield, MA 01103","270 Worthington St.","","01-Jun-16",NA,NA,""
"Private","5/2/2015","xxxx","xxxx","60 Day Loss of Licsence","10-Nov-15",NA,NA,""
"The One Bar","5/2/2015","Northampton, MA 01060","Pleasant Street","","09-Jun-15",NA,NA,""
"The Point","5/2/2015","Boston Ma 02108","147 Hanover St","45 Day Loss of License","18-Aug-15",NA,NA,""
"88's","5/3/2015","Webster, MA 01570","Gore Road","","14-Jul-15",NA,1,"M9650851"
"Bellingham House of Pizza
 c/o Stamatia Kontoulis","5/3/2015","Bellingham, MA 02019","442 Hartford Avenue","","26-Jul-16",NA,1,"R1846846"
"Private","5/3/2015","Private","Private","","24-Aug-15",NA,NA,""
"The Woodshed Lounge","5/3/2015","Brewster, MA 02631","1993 Main Street","","05-May-15",NA,NA,""
"Toby Keith's I Love this Bar and Grill","5/3/2015","Foxboro, MA 02035","275 Patriot Pl","","14-Sep-15",NA,NA,""
"Brittish Beer Company","5/4/2015","Falmouth, MA 02540","263 Grand Avenue","","19-May-15",NA,1,"M4795408"
"Hunter's Pub","5/4/2015","Chicopee, MA","182 Chicopee Street","","10-Aug-15",NA,NA,""
"American Tavern","5/5/2015","Salisbury, MA 01952","Bridge Road","","02-Jul-15",NA,1,"R1161223"
"Hugh O'Neils","5/5/2015","Malden, Ma. 02148","45 Pleasant Street","","09-Nov-15",NA,NA,""
"Smokey Bones","5/5/2015","Tyngsboro, MA 01879","431 Middlesex Rd","","28-May-15",NA,NA,""
"Christopher's Pub","5/6/2015","Leominster, MA 01453","7 Pleasant Street","","25-Feb-16",NA,1,"R0995540"
"MEZCAL TQUILA CANTINA, INC.","5/6/2015","WORCESTER, MA. 01604","166 SHREWSBURY STREET","","01-Jul-15",NA,NA,""
"Sharky's Cantina","5/6/2015","Edgartown, MA 02539","266 Upper Main Street","","11-May-15",NA,NA,""
"Slattery's Restaurant","5/6/2015","Fitchburg MA 01420","106 Lunenburg Street","","28-Sep-16",NA,NA,""
"Fat Cactus","5/7/2015","Lynnfield, MA 01940","215 Broadway","","20-May-15",NA,NA,""
"Bertuccis","5/8/2015","Reading Ma 01867","45 Walkers Brook Dr","","23-Mar-16",NA,1,"R2132151"
"pvt. residence","5/8/2015","xxx","xxx","","17-Jun-15",NA,NA,""
"Sea Note","5/8/2015","Hull, MA 02045","159 Nantasket Avenue","","09-Jun-15",NA,NA,""
"British Beer Company","5/9/2015","Westford, Ma. 01886","149 Littleton Road","","19-May-15",NA,1,"R1773465"
"Froggy's Saloon","5/9/2015","Westfield, MA 01085","846 Airport Industrial Park Road","","11-May-15",NA,NA,""
"HORSESHOE PUB & RESTAURANT","5/9/2015","HUDSON, MA 01749","29 SOUTH STREET","","23-Jun-15",NA,NA,""
"Oriental Gardens","5/9/2015","Haverhill, MA 01830","400 Lowell Avenue","","26-May-15",NA,NA,""
"Private","5/9/2015","private","private","","10-Sep-15",NA,NA,""
"Sam's Bistro","5/9/2015","Reading, MA 01867","107 Main St","","14-Jul-15",NA,NA,""
"Sundancers","5/9/2015","Dennis, MA 02670","116 Main Street","","27-Jan-16",NA,NA,""
"the Village Tavern","5/9/2015","Salem, MA 01970","Essex Street","","26-Jun-15",NA,NA,""
"The Well","5/9/2015","Great Barrington, MA 01230","312 Main St","","11-May-15",NA,NA,""
"","5/9/2015","","","","24-Jun-15",NA,NA,""
"Boatslip Resort","5/10/2015","Provincetown, MA 02657","161 Commercial Street","","22-Jun-15",NA,1,"R2083105"
"HIGH HORSE","5/10/2015","0","AMHERST MA","","11-Jun-15",NA,NA,""
"Italian Community Center","5/10/2015","Beverly, MA 01915","302 Rantoul St","","19-May-15",NA,NA,""
"La Fiesta","5/10/2015","Great Barrington, MA 01230","284 Main St","","28-May-15",NA,NA,""
"Murphy's Pub","5/10/2015","Agawam, MA 01001","664 Suffield St.","","11-May-15",NA,NA,""
"Oyes","5/10/2015","Reading Ma 01887","26 walkers brook rd","","14-Jul-15",NA,NA,""
"Private","5/10/2015","Private","Private","","18-May-16",NA,NA,""
"The Grog","5/10/2015","Newburyport, Massachusetts 01950","Middle Street","","15-May-15",NA,NA,""
"Chili's Grill & Bar","5/11/2015","Danvers, MA 01923","10 Newbury Street","","14-May-15",NA,1,"R0939231"
"Private","5/11/2015",".",".","","07-Jul-15",NA,NA,""
"Splash","5/11/2015","Salisbury, MA 01952","3 Broadway","","11-May-15",NA,NA,""
"Splash","5/11/2015","Salisbury, MA 01952","3 Broadway","","12-May-15",NA,NA,""
"The Wharf","5/11/2015","Edgartown, MA 02539","Dock and Main Streets","","22-May-15",NA,NA,""
"Does not recall","5/12/2015",NA,NA,"","20-Jul-15",NA,NA,""
"Gas Light Cafe","5/12/2015","Dudley, MA 01571","59 Schofield Ave","","15-May-15",NA,NA,""
"NONE","5/12/2015","NONE","NONE","","29-May-15",NA,NA,""
"STEELE PUB","5/12/2015","Athol, MA 01331","Exchange Street","","15-May-15",NA,NA,""
"Lotus Blossom","5/13/2015","Sudbury, MA 01776","394 Boston Post Road","394","18-May-15",NA,NA,""
"PNA","5/13/2015","Dudley, MA 01571","West Main St.","","21-Oct-15",NA,NA,""
"private","5/13/2015","private","private","","26-Jun-15",NA,NA,""
"Rack Em Up Billiards","5/13/2015","Fall River, MA","Griffen Street","","21-May-15",NA,NA,""
"Toby Keith's","5/13/2015","Foxboro, MA","Patriot's Place","","27-May-15",NA,NA,""
"DRAGON 88 RESTAURANT","5/14/2015","BOYLSTON, MA 01505","260 SHREWSBURY STREET","","01-Dec-15",NA,NA,""
"Partners Pub","5/14/2015","Fitchburg, MA 01420","970 South Street","","15-May-15",NA,NA,""
"D'Ann's Restaurant","5/15/2015","Abington, MA 02351","340 Centre Avenue","","21-May-15",NA,NA,""
"Hu Ke Lau","5/15/2015","CHICOPEE, MA 01020","705 MEMORIAL DRIVE","","10-Jul-15",NA,NA,""
"Jalepenos","5/15/2015","Gloucester, MA 01930","Main Street","","22-May-15",NA,NA,""
"Leo's Super Bowl","5/15/2015","Amesbury, MA 01913","Haverhill Street","","21-May-15",NA,NA,""
"Private","5/15/2015","Private","Private","","25-Jun-15",NA,NA,""
"Pub 97","5/15/2015","Groveland MA 01834","935 Salem Street","","11-May-16",NA,NA,""
"Seasons 52","5/15/2015","Burlington, Ma 01803","6 Wayside Road","","23-Jun-15",NA,NA,""
"Slattery's Back Room","5/15/2015","Fitchburg, MA 01420","106 Lunenburg Street","","19-May-15",NA,NA,""
"Texas Roadhouse","5/15/2015","Walpole, MA 02081","102 Boston Providence Hwy","","27-Aug-15",NA,NA,""
"TGIF Friday's","5/15/2015","Everett, MA 02149","33 Mystic View Road","","21-May-15",NA,NA,""
"The Wharf Pub","5/15/2015","Edgartown, MA 02539","Main and Dock Streets","","22-Jun-15",NA,NA,""
"Chicken Box","5/16/2015","Nantucket, MA 02554","6 Dave Street","","23-Jun-15",NA,1,"R2562178"
"Chicopee Center Legion Post #452","5/16/2015","Chicopee, MA 01020","43 Exchange Street","","09-Jul-15",NA,1,"M6772816"
"Horseshoe Lounge","5/16/2015","North Reading MA 01864","226 Main St","","08-Apr-16",NA,NA,""
"Olive Garden","5/16/2015","Stoughton, MA 02072","401 Technology Center Drive","","10-Jun-15",NA,NA,""
"Port Hunter Seafood","5/16/2015","Edgartown, MA 02539","56 Main Street","","13-Jul-15",NA,NA,""
"Red Stone Grill","5/16/2015","North Attleboro, MA 02760","120 Chestnut Street","","20-May-15",NA,NA,""
"Straight Shooter","5/16/2015","Fall River, MA","288 Plymouth Ave.","","09-Oct-15",NA,NA,""
"Veterans of Foreign Wars","5/16/2015","Salem, MA 01970","95 Derby Street","","01-Jul-15",NA,NA,""
"Ale House","5/17/2015","Amesbury, MA 01830","Market Street","","02-May-16",NA,1,"R1846265"
"Christopher's pub","5/17/2015","Leominster, Ma","7 Pleasant Street","","24-Feb-16",NA,1,"R2105984"
"Fantasy Island","5/17/2015","Salem Ma. 01970","516 Loring Ave","","25-Feb-16",NA,NA,""
"J. BRIENS PUB","5/17/2015","LAWRENCE, MA 01843","615 SOUTH UNION ST.","","24-Sep-15",NA,NA,""
"Maple Leaf","5/17/2015","Westfield, MA 01085","Arnold St.","","26-Jun-15",NA,NA,""
"Maverick's Resturant & Lounge","5/17/2015","Tewksbury, Ma 01876","2212 Main Street","","27-Apr-16",NA,NA,""
"Nix Brew Pub","5/17/2015","Nantucket, MA 02554","15 South Water Street","","01-Feb-16",NA,NA,""
"Private","5/17/2015","Private","Private","","14-Oct-15",NA,NA,""
"pvt. residence","5/17/2015","xxx","xxx","","29-Sep-15",NA,NA,""
"Sharky's Cantina","5/17/2015","Edgartown, MA 02539","266 Upper Main Street","","22-May-15",NA,NA,""
"The Grog","5/18/2015","Newburyport, Massachusetts 01950","Middle Street","","20-May-15",NA,NA,""
"Private","5/19/2015","Private","Private","","31-Jul-15",NA,NA,""
"The Blarney Stone","5/19/2015","Worcester, MA 01603","79 Maywood St.","","23-Jun-15",NA,NA,""
"Garcia Brogan","5/20/2015","Lowell, MA 01850","131 Middlesex St","","12-Nov-15",NA,NA,""
"Private","5/20/2015","Private","Private","","03-Jul-15",NA,NA,""
"Private","5/20/2015","Private","Private","","05-Aug-15",NA,NA,""
"Anthony's","5/21/2015","South Hadley, MA 01075","500 New Ludlow Road","","08-Oct-15",NA,1,"R1028130"
"Brava","5/21/2015","Lenox, MA 01240","27 Housatonic St","","11-Jun-15",NA,1,"R2053915"
"Port Tavern","5/21/2015","Newburyport, MA 01950","State Street","","22-May-15",NA,NA,""
"private residence","5/21/2015","xxx","xxx","","05-Oct-15",NA,NA,""
"Sylvan Street Grill","5/21/2015","Salsibury, MA 01952","Elm Street","","05-Jun-15",NA,NA,""
"Beachcomber of Wellfleet","5/22/2015","Wellfleet, MA 02667","Cahoon Hollow Road","","04-Jun-15",NA,1,"R0761399"
"Anthony's","5/23/2015","South Hadley, MA 01075","500 New Ludlow Road","","23-Jun-15",NA,1,"R0992006"
"Catcher's Mit Pub","5/23/2015","Lowell, MA 01852","726 Gorham St","","02-Jun-16",NA,1,"R2315237"
"EMBARGO","5/23/2015","Hyannis, MA 02601","453 Main Street","","10-Jun-15",NA,NA,""
"Rose and Crown","5/23/2015","Nantucket, MA 02554","S water Street","","27-Oct-15",NA,NA,""
"Sam Diego's","5/23/2015","Hyannis, MA 02601","950 Iyanough Rd.","","25-Nov-15",NA,NA,""
"Singapore Restaurant","5/23/2015","Attleboro, MA 02703","111 Pleasant Street","","27-May-16",NA,NA,""
"South Barre Rod & Gun Club","5/23/2015","South Barre, MA. 01074","PO Box 11","","25-May-16",NA,NA,""
"The Grog","5/23/2015","Newburyport, MA 01950","13 Middle Street","","01-Jun-15",NA,NA,""
"Catman Cafe","5/24/2015","Mansfield, MA 02048","16 Old Colony Way","","02-Jun-15",NA,1,"R1289385"
"CROWN NIGHT CLUB","5/24/2015","LOWELL, MA 01852","74 MIDDLESEX STREET","","15-Jun-15",NA,NA,""
"Sinclair Hotel","5/24/2015","Cambridge, MA 02139","52 Church Street","","30-Jul-15",NA,NA,""
"Ten's Show Club","5/24/2015","Salisbury, MA 01952","11 Northend Blvd","","29-Jun-15",NA,NA,""
"The Lost Dog","5/24/2015","Orleans, MA 02653","63 Route 6A","","08-Jan-16",NA,NA,""
"VFW","5/24/2015","Peabody, MA 01960","20 Stevens Street","","13-Sep-16",NA,NA,""
"Isla Restaurant","5/25/2015","Framingham, MA 01702","672 Waverly Street","","12-Feb-16",NA,NA,""
"La Raza","5/25/2015","Worcester, MA 01612","387 Cambridge Street","","31-Jul-15",NA,NA,""
"Private","5/25/2015","N/A","N/A","","03-Feb-16",NA,NA,""
"The Conferance Table","5/25/2015","Falmouth, 02540","205 Worcester Street","","20-Nov-15",NA,NA,""
"Tides Restaurnats and pub","5/25/2015","Nahant MA","2 Wilson Rd","","28-Mar-16",NA,NA,""
"Chicken Box","5/26/2015","Nantucket, MA 02584","16 Dave Street","","08-Dec-15",NA,1,"M9021615"
"CHELSEA YACHT CLUB 52","5/27/2015","CHELSEA, MA. 02150","ONE BROADWAY","","02-Jul-15",NA,1,"R1147184"
"Maximillian's Bar","5/27/2015","Tyngsboro, MA 01879","315 Middlesex Road, #4","","21-Aug-15",NA,NA,""
"Upper Deck","5/27/2015","Barre, MA 01005","377 Stetson Road","","02-Oct-15",NA,NA,""
"Private","5/28/2015","xxxxx","xxxxx","45 Day Loss of License","17-Aug-15",NA,NA,""
"Whitney's Cafe","5/28/2015","Cambridge,MA 02138","37 John F. Kennedy St.","","22-Jun-15",NA,NA,""
"BREAK-AWAY BILLIARDS","5/29/2015","CLINTON, MA 01510","104 STERLING STREET","","13-Jul-15",NA,1,"M7293335"
"Hubies Tavern","5/29/2015","Turners Falls MA 01376","66 Avenue A","","19-Jan-16",NA,NA,""
"Nashoba Valley Ski Area - Sunset Tiki Bar","5/29/2015","Westford, MA 01886","Powers Road","","24-Jun-15",NA,NA,""
"Partner's Pub","5/29/2015","Fitchburg, MA. 01420","970 South St","","01-Jun-15",NA,NA,""
"PRIVATE","5/29/2015","PRIVATE","PRIVATE","","21-Oct-15",NA,NA,""
"Splash","5/29/2015","Salisbury, MA 01952","3 Broadway","","24-Jul-15",NA,NA,""
"Stripers Grill","5/29/2015","Salisbury, MA 01952","Bridge Road","","02-Jul-15",NA,NA,""
"The Barn","5/29/2015","Amesbury, MA 01913","Ring Street","","23-Sep-15",NA,NA,""
"Tilted Kilt","5/29/2015","Nashua, NH 03063","345 Amherst St.","","15-Jul-15",NA,NA,""
"Chapin's","5/30/2015","Dennis, MA 02638","85 Taunton Ave.","","03-Nov-15",NA,1,"R2315792"
"City Steam Brewery","5/30/2015","Hartford, CT 06103","942 Main Street","","15-Jan-16",NA,1,"R2577080"
