leaid,leaname,fips,stateabb,gapblk,gapseblk,gaphsp,gapsehsp,racepercent
1601980,MARSING JOINT DISTRICT,ID,ID,,,.5228,.0382,1
1602100,MERIDIAN JOINT DISTRICT,ID,ID,.6988,.0276,.5076000000000001,.0113,.98962766
1602130,MIDDLETON DISTRICT,ID,ID,,,.5196,.0287,.99642283
1602190,MINIDOKA COUNTY JOINT DISTRICT,ID,ID,,,.5979,.0178,.99966168
1602250,MOUNTAIN HOME DISTRICT,ID,ID,,,.5202,.0214,.99038881
1602340,NAMPA SCHOOL DISTRICT,ID,ID,.3973,.237,.6203,.0103,.98890108
1602550,PARMA DISTRICT,ID,ID,,,.6002999999999999,.0424,.9996168
1602580,PAYETTE JOINT DISTRICT,ID,ID,,,.4878,.0305,.99943835
1602640,POCATELLO DISTRICT,ID,ID,,,.5189,.017,.9981429
1602670,POST FALLS DISTRICT,ID,ID,,,.3149,.041,.99939966
1602910,SHELLEY JOINT DISTRICT,ID,ID,,,.7867,.0476,.99835259
1602940,SHOSHONE JOINT DISTRICT,ID,ID,,,.5051,.0985,.99906087
1602970,SNAKE RIVER DISTRICT,ID,ID,,,.7662,.032,.99959761
1603180,TETON COUNTY DISTRICT,ID,ID,,,.8687,.0385,1
1603240,TWIN FALLS DISTRICT,ID,ID,,,.5312,.0189,.99775898
1603270,VALLEY DISTRICT,ID,ID,,,.8906,.1003,1
1603330,WEISER DISTRICT,ID,ID,,,.5747,.0317,1
1603360,WENDELL DISTRICT,ID,ID,,,.5312,.0339,.99642599
1603400,WEST JEFFERSON DISTRICT,ID,ID,,,.6044000000000001,.1544,1
1700010,BEACH PARK CCSD 3,IL,IL,.6646,.0252,.4974,.0223,.99978304
1700077,MARENGO-UNION E CONS D 165,IL,IL,,,.6283,.0337,1
1700110,NORTH CHICAGO SD 187,IL,IL,.5491,.1912,.6319,.2022,.99975884
1700112,STREATOR ESD 44,IL,IL,,,.2175,.039,1
1700119,NORTH SHORE SD 112,IL,IL,,,1.1392,.0209,.99986869
1700222,NIPPERSINK SD 2,IL,IL,,,.1714,.1686,1
1700320,MONMOUTH-ROSEVILLE CUSD 238,IL,IL,,,.2577,.0484,.99974358
1703150,ADDISON SD 4,IL,IL,.9492,.2129,.7005,.0164,.99992508
1703480,ALSIP-HAZLGRN-OAKLWN SD 126,IL,IL,.4545,.108,.2466,.0272,1
1703600,ALTON CUSD 11,IL,IL,.6635,.017,,,1
1703840,ANTIOCH CCSD 34,IL,IL,.3331,.1728,.3911,.0288,.99960226
1703930,ARBOR PARK SD 145,IL,IL,.329,.1023,.3888,.0317,1
1703960,ARCOLA CUSD 306,IL,IL,,,.5143,.0599,1
1704050,SUMMIT SD 104,IL,IL,.1825,.1649,.1443,.0606,1
1704140,ARLINGTON HEIGHTS SD 25,IL,IL,,,.8062,.0324,.99993938
1704560,ATWOOD HEIGHTS SD 125,IL,IL,.5183,.1856,.3413,.051,1
1704680,AURORA EAST USD 131,IL,IL,.5570000000000001,.0283,.4308,.0233,1
1704710,AURORA WEST USD 129,IL,IL,.9269,.0158,.7017,.0127,.99977648
1704920,BALL CHATHAM CUSD 5,IL,IL,.7258,.0715,,,1
1705050,BARRINGTON CUSD 220,IL,IL,,,1.2097,.0217,.99990863
1705220,BATAVIA USD 101,IL,IL,1.1745,.156,.7741,.0262,.9996233
1705310,BEARDSTOWN CUSD 15,IL,IL,,,.3433,.0335,1
